audit_mode,module,file,xmlid,view_name,model,inherit_id,arch_root,arch_kind,field_count,group_count,labelled_group_count,notebook_count,page_count,labelled_page_count,statusbar_count,header_button_count,button_box_count,stat_button_count,chatter_count,x2many_inline_count,data_anchor_count,source_trace_field_count,structural_score,classification,recommendation,gaps
runtime_view,runtime,odoo.registry,hr_org_chart.res_users_view_form,res.users.preferences.view.form.inherit.org_chart,res.users,hr.res_users_view_form_profile,form,full_form,79,27,16,1,6,6,0,0,1,1,0,4,116,0,14,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar;missing_chatter
runtime_view,runtime,odoo.registry,hr_skills.res_users_view_form,hr.user.preferences.form.inherit.hr.skills,res.users,hr.res_users_view_form_profile,form,full_form,79,27,16,1,6,6,0,0,1,1,0,4,116,0,14,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar;missing_chatter
runtime_view,runtime,odoo.registry,mail.view_users_form_mail,res.users.form.mail,res.users,base.view_users_form,form,full_form,156,14,9,1,3,3,1,3,1,1,0,1,177,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_chatter
runtime_view,runtime,odoo.registry,mail.view_users_form_simple_modif_mail,res.users.preferences.form.mail,res.users,base.view_users_form_simple_modif,form,full_form,18,10,5,1,2,2,0,0,0,0,0,2,42,0,11,needs_xml_structure,缺少 sheet/group，契约层难以稳定推断主信息区,missing_sheet;missing_statusbar;missing_button_box;missing_chatter
runtime_view,runtime,odoo.registry,mail_bot.res_users_view_form,res.users.view.form.mail_bot,res.users,mail.view_users_form_mail,form,full_form,156,14,9,1,3,3,1,3,1,1,0,1,177,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_chatter
runtime_view,runtime,odoo.registry,mail_bot.res_users_view_form_preferences,res.users.view.form.preferences.mail_bot,res.users,mail.view_users_form_simple_modif_mail,form,full_form,18,10,5,1,2,2,0,0,0,0,0,2,42,0,11,needs_xml_structure,缺少 sheet/group，契约层难以稳定推断主信息区,missing_sheet;missing_statusbar;missing_button_box;missing_chatter
runtime_view,runtime,odoo.registry,mail_bot_hr.res_users_view_form_preferences,res.users.preferences.form.inherit,res.users,mail_bot.res_users_view_form_preferences,form,full_form,18,10,5,1,2,2,0,0,0,0,0,2,42,0,11,needs_xml_structure,缺少 sheet/group，契约层难以稳定推断主信息区,missing_sheet;missing_statusbar;missing_button_box;missing_chatter
runtime_view,runtime,odoo.registry,mail_bot_hr.res_users_view_form_profile,res.users.profile.form.inherit,res.users,hr.res_users_view_form_profile,form,full_form,79,27,16,1,6,6,0,0,1,1,0,4,116,0,14,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar;missing_chatter
runtime_view,runtime,odoo.registry,mail_bot_hr.res_users_view_form_simple_modif,res.users.preferences.form.simplified.inherit,res.users,hr.res_users_view_form_simple_modif,form,full_form,79,27,16,1,6,6,0,0,1,1,0,4,116,0,14,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar;missing_chatter
runtime_view,runtime,odoo.registry,smart_construction_core.view_sc_runtime_user_form,res.users.sc.runtime.form,res.users,,form,full_form,8,6,4,0,0,0,0,0,0,0,0,0,8,0,8,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
